timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
45501872,0,32767,32767,32767,-302,-302,32767
45516673,0,32767,-1,32767,-296,-296,32767
45532102,0,32767,32767,32767,-303,-303,32767
45547048,0,32767,32767,32767,-304,-304,32767
45563946,0,32767,32767,32767,-318,-318,32767
45577372,0,32767,32767,32767,-303,-303,32767
45593405,0,32767,32767,32767,-295,-295,32767
45607379,0,32767,32767,32767,-300,-300,32767
45624160,0,32767,-2,32767,-307,-307,32767
45638410,0,32767,32767,32767,-311,-311,32767
45656299,0,32767,32767,32767,-321,-321,32767
45670219,0,32767,32767,32767,-318,-318,32767
45688378,0,32767,32767,32767,-321,-321,32767
45700140,0,32767,32767,32767,-299,-299,32767
45716012,0,32767,32767,32767,-277,-277,32767
45731591,0,32767,-1,32767,-314,-314,32767
45747316,0,32767,32767,32767,-313,-313,32767
45761002,0,32767,32767,32767,-295,-295,32767
45778358,0,32767,32767,32767,-310,-310,32767
45791548,0,32767,32767,32767,-305,-305,32767
45807570,0,32767,32767,32767,-292,-292,32767
45823460,0,32767,32767,32767,-319,-319,32767
45838729,0,32767,-2,32767,-312,-312,32767
45855305,0,32767,32767,32767,-319,-319,32767
45871307,0,32767,32767,32767,-326,-326,32767
45884492,0,32767,32767,32767,-291,-291,32767
45899558,0,32767,32767,32767,-282,-282,32767
45917307,0,32767,32767,32767,-329,-329,32767
45930239,0,32767,32767,32767,-307,-307,32767
45945917,0,32767,-2,32767,-286,-286,32767
45960941,0,32767,32767,32767,-307,-307,32767
45975744,0,32767,32767,32767,-298,-298,32767
45991096,0,32767,32767,32767,-301,-301,32767
46006120,0,32767,32767,32767,-304,-304,32767
46021381,0,32767,32767,32767,-303,-303,32767
46036607,0,32767,32767,32767,-305,-305,32767
46051842,0,32767,-2,32767,-305,-305,32767
46067744,0,32767,32767,32767,-311,-311,32767
46082740,0,32767,32767,32767,-309,-309,32767
46098752,0,32767,32767,32767,-310,-310,32767
46115085,0,32767,32767,32767,-323,-323,32767
46127966,0,32767,32767,32767,-292,-292,32767
46145302,0,32767,32767,32767,-303,-303,32767
46159016,0,32767,-2,32767,-311,-311,32767
46175301,0,32767,32767,32767,-300,-300,32767
46190249,0,32767,32767,32767,-312,-312,32767
46204959,0,32767,32767,32767,-296,-296,32767
46222306,0,32767,32767,32767,-321,-321,32767
46236313,0,32767,32767,32767,-314,-314,32767
46255301,0,32767,32767,32767,-330,-330,32767
46267580,0,32767,-1,32767,-312,-312,32767
46282894,0,32767,32767,32767,-275,-275,32767
46300306,0,32767,32767,32767,-328,-328,32767
46313749,0,32767,32767,32767,-309,-309,32767
46329453,0,32767,32767,32767,-291,-291,32767
46344144,0,32767,32767,32767,-304,-304,32767
46361346,0,32767,32767,32767,-319,-319,32767
46376841,0,32767,-2,32767,-327,-327,32767
46393326,0,32767,32767,32767,-320,-320,32767
46406754,0,32767,32767,32767,-299,-299,32767
46421769,0,32767,32767,32767,-284,-284,32767
46437404,0,32767,32767,32767,-307,-307,32767
46454306,0,32767,32767,32767,-326,-326,32767
46467524,0,32767,32767,32767,-301,-301,32767
46484939,0,32767,-2,32767,-306,-306,32767
46498936,0,32767,32767,32767,-314,-314,32767
46514681,0,32767,32767,32767,-297,-297,32767
46529390,0,32767,32767,32767,-304,-304,32767
46543558,0,32767,32767,32767,-289,-289,32767
46558917,0,32767,32767,32767,-296,-296,32767
46574315,0,32767,32767,32767,-308,-308,32767
46589128,0,32767,-2,32767,-302,-302,32767
46604774,0,32767,32767,32767,-304,-304,32767
46621306,0,32767,32767,32767,-322,-322,32767
46637346,0,32767,32767,32767,-326,-326,32767
46651053,0,32767,32767,32767,-297,-297,32767
46668396,0,32767,32767,32767,-310,-310,32767
46681922,0,32767,32767,32767,-309,-309,32767
46697275,0,32767,-2,32767,-289,-289,32767
46712355,0,32767,32767,32767,-304,-304,32767
46727559,0,32767,32767,32767,-303,-303,32767
46742545,0,32767,32767,32767,-302,-302,32767
46757929,0,32767,32767,32767,-304,-304,32767
46774383,0,32767,32767,32767,-318,-318,32767
46787588,0,32767,32767,32767,-296,-296,32767
46803437,0,32767,-2,32767,-291,-291,32767
46819305,0,32767,32767,32767,-318,-318,32767
46833197,0,32767,32767,32767,-297,-297,32767
46848536,0,32767,32767,32767,-292,-292,32767
46863602,0,32767,32767,32767,-305,-305,32767
46878548,0,32767,32767,32767,-300,-300,32767
46893908,0,32767,32767,32767,-303,-303,32767
46909888,0,32767,-1,32767,-313,-313,32767
46925149,0,32767,32767,32767,-312,-312,32767
46939800,0,32767,32767,32767,-300,-300,32767
46957042,0,32767,32767,32767,-319,-319,32767
46970425,0,32767,32767,32767,-306,-306,32767
46986576,0,32767,32767,32767,-295,-295,32767
47001034,0,32767,32767,32767,-306,-306,32767
47016945,0,32767,-1,32767,-304,-304,32767
47032223,0,32767,32767,32767,-312,-312,32767
47048543,0,32767,32767,32767,-316,-316,32767
47062676,0,32767,32767,32767,-304,-304,32767
47079319,0,32767,32767,32767,-308,-308,32767
47095299,0,32767,32767,32767,-326,-326,32767
47107950,0,32767,32767,32767,-286,-286,32767
47122895,0,32767,-1,32767,-276,-276,32767
47138992,0,32767,32767,32767,-310,-310,32767
47155311,0,32767,32767,32767,-325,-325,32767
47168695,0,32767,32767,32767,-297,-297,32767
47186308,0,32767,32767,32767,-310,-310,32767
47199519,0,32767,32767,32767,-309,-309,32767
47215413,0,32767,32767,32767,-291,-291,32767
47229748,0,32767,-2,32767,-302,-302,32767
47244935,0,32767,32767,32767,-295,-295,32767
47259779,0,32767,32767,32767,-300,-300,32767
47275513,0,32767,32767,32767,-306,-306,32767
47289560,0,32767,32767,32767,-298,-298,32767
47305041,0,32767,32767,32767,-295,-295,32767
47321307,0,32767,32767,32767,-318,-318,32767
47336302,0,32767,-3,32767,-313,-313,32767
47349801,0,32767,32767,32767,-285,-285,32767
47364618,0,32767,32767,32767,-283,-283,32767
47379797,0,32767,32767,32767,-299,-299,32767
47395922,0,32767,32767,32767,-313,-313,32767
47411299,0,32767,32767,32767,-315,-315,32767
47425621,0,32767,32767,32767,-297,-297,32767
47441181,0,32767,-2,32767,-299,-299,32767
47458328,0,32767,32767,32767,-327,-327,32767
47472838,0,32767,32767,32767,-317,-317,32767
47486814,0,32767,32767,32767,-285,-285,32767
47503352,0,32767,32767,32767,-305,-305,32767
47519307,0,32767,32767,32767,-325,-325,32767
47534306,0,32767,32767,32767,-310,-310,32767
47548036,0,32767,-2,32767,-287,-287,32767
47562567,0,32767,32767,32767,-282,-282,32767
47579305,0,32767,32767,32767,-313,-313,32767
47594551,0,32767,32767,32767,-320,-320,32767
47609472,0,32767,32767,32767,-301,-301,32767
47623806,0,32767,32767,32767,-293,-293,32767
47638384,0,32767,32767,32767,-289,-289,32767
47655457,0,32767,-2,32767,-316,-316,32767
47668805,0,32767,32767,32767,-305,-305,32767
47687308,0,32767,32767,32767,-319,-319,32767
47700568,0,32767,32767,32767,-317,-317,32767
47714715,0,32767,32767,32767,-274,-274,32767
47731305,0,32767,32767,32767,-308,-308,32767
47746300,0,32767,32767,32767,-316,-316,32767
47760435,0,32767,-2,32767,-291,-291,32767
47775628,0,32767,32767,32767,-293,-293,32767
47790821,0,32767,32767,32767,-304,-304,32767
47806083,0,32767,32767,32767,-304,-304,32767
47821830,0,32767,32767,32767,-310,-310,32767
47837267,0,32767,32767,32767,-312,-312,32767
47853345,0,32767,32767,32767,-315,-315,32767
47867786,0,32767,-2,32767,-305,-305,32767
47882582,0,32767,32767,32767,-292,-292,32767
47897516,0,32767,32767,32767,-298,-298,32767
47913672,0,32767,32767,32767,-311,-311,32767
