timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
49283491,-0.0033838535,-0.0052499617,0.0,0.0,0.9999951,-0.0016919201,-0.002624974,-4.441268e-06,0.0,0.0,-0.6269832,1,0,0,0,0,0
49373648,-0.0024788887,-0.0057141823,0.0,0.0,0.9999951,-0.001239439,-0.002857085,-3.5411997e-06,0.0,0.0,-0.6259326,1,0,0,0,0,0
49465490,-0.0017720244,-0.0052045034,0.0,0.0,0.99999624,-0.00088600913,-0.0026022482,-2.305624e-06,0.0,0.0,-0.6284988,1,0,0,0,0,0
49588789,2.5384423e-05,-0.006207618,0.0,0.0,0.9999952,1.2692151e-05,-0.003103804,3.9394138e-08,0.0,0.0,-0.6285401,1,0,0,0,0,0
49682011,-0.0011341977,-0.005024811,0.0,0.0,0.99999666,-0.00056709704,-0.0025124024,-1.4247807e-06,0.0,0.0,-0.6280197,1,0,0,0,0,0
49772935,0.00039247551,-0.0054300446,0.0,0.0,0.9999963,0.00019623703,-0.0027150188,5.327893e-07,0.0,0.0,-0.62665117,1,0,0,0,0,0
49894540,-0.00027189366,-0.005403974,0.0,0.0,0.99999636,-0.00013594635,-0.002701984,-3.6732615e-07,0.0,0.0,-0.6264695,1,0,0,0,0,0
49988181,0.0017004696,-0.0073849843,0.0,0.0,0.99999285,0.0008502288,-0.003692482,3.1394775e-06,0.0,0.0,-0.62841886,1,0,0,0,0,0
50078403,0.00059247075,-0.0068604983,0.0,0.0,0.9999941,0.00029623366,-0.0034302424,1.0161592e-06,0.0,0.0,-0.6264908,1,0,0,0,0,0
50201120,0.0015900679,-0.0058407094,0.0,0.0,0.9999954,0.0007950305,-0.0029203498,2.3217776e-06,0.0,0.0,-0.6264406,1,0,0,0,0,0
50292134,0.0014707157,-0.006356265,0.0,0.0,0.9999947,0.00073535414,-0.0031781264,2.3370606e-06,0.0,0.0,-0.6259266,1,0,0,0,0,0
50384054,0.00074955256,-0.006214657,0.0,0.0,0.9999951,0.00037477442,-0.003107323,1.1645509e-06,0.0,0.0,-0.62636274,1,0,0,0,0,0
50474626,0.0013897009,-0.0072071413,0.0,0.0,0.99999326,0.00069484586,-0.003603562,2.5039371e-06,0.0,0.0,-0.6277195,1,0,0,0,0,0
50599254,2.0439673e-05,-0.0063951537,0.0,0.0,0.99999493,1.0219785e-05,-0.0031975713,3.2678656e-08,0.0,0.0,-0.62778705,1,0,0,0,0,0
